[18/Feb/2020 01:09:19] INFO [django.utils.autoreload:598] Watching for file changes with StatReloader
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:286] Waiting for apps ready_event.
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:297] Apps ready_event triggered. Sending autoreload_started signal.
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:252] Watching dir C:\proyecto\sistema_ventas\locale with glob **/*.mo.
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:252] Watching dir C:\venv\venv0\lib\site-packages\django\contrib\admin\locale with glob **/*.mo.
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:252] Watching dir C:\venv\venv0\lib\site-packages\django\contrib\auth\locale with glob **/*.mo.
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:252] Watching dir C:\venv\venv0\lib\site-packages\django\contrib\contenttypes\locale with glob **/*.mo.
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:252] Watching dir C:\venv\venv0\lib\site-packages\django\contrib\sessions\locale with glob **/*.mo.
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:252] Watching dir C:\venv\venv0\lib\site-packages\django\contrib\messages\locale with glob **/*.mo.
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:252] Watching dir C:\venv\venv0\lib\site-packages\django\contrib\staticfiles\locale with glob **/*.mo.
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:252] Watching dir C:\proyecto\sistema_ventas\apps\inventario\locale with glob **/*.mo.
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:252] Watching dir C:\proyecto\sistema_ventas\apps\compra\locale with glob **/*.mo.
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:252] Watching dir C:\proyecto\sistema_ventas\apps\venta\locale with glob **/*.mo.
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:252] Watching dir C:\venv\venv0\lib\site-packages\import_export\locale with glob **/*.mo.
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1581700701.7743835
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\template\defaultfilters.py first seen with mtime 1581700701.9576254
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\openpyxl\chart\radar_chart.py first seen with mtime 1581707264.482046
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\ctypes\wintypes.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\sre_compile.py first seen with mtime 1540060734.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1581700701.563419
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1581700701.3310783
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\email\mime\nonmultipart.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\shutil.py first seen with mtime 1540060734.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\core\files\images.py first seen with mtime 1581700701.4204195
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\contrib\postgres\validators.py first seen with mtime 1581700698.804534
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\db\models\query.py first seen with mtime 1581700701.7093782
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\gettext.py first seen with mtime 1540060730.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\core\checks\translation.py first seen with mtime 1581700701.40343
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\proyecto\sistema_ventas\apps\inventario\models.py first seen with mtime 1581912284.7989275
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\xlwt\Style.py first seen with mtime 1581707270.5023336
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1581700701.5280643
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\asyncio\queues.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1581700678.5155077
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\db\models\lookups.py first seen with mtime 1581700701.7023919
